threshold,precision,recall
0,0.373913,1
0.01,0.84,0.976744
0.02,0.893617,0.976744
0.03,0.893617,0.976744
0.04,0.911111,0.953488
0.05,0.931818,0.953488
0.06,0.931818,0.953488
0.07,0.931818,0.953488
0.08,0.931818,0.953488
0.09,0.931818,0.953488
0.1,0.931818,0.953488
0.11,0.931818,0.953488
0.12,0.931818,0.953488
0.13,0.931818,0.953488
0.14,0.931818,0.953488
0.15,0.931818,0.953488
0.16,0.931818,0.953488
0.17,0.931818,0.953488
0.18,0.931818,0.953488
0.19,0.931818,0.953488
0.2,0.931818,0.953488
0.21,0.931818,0.953488
0.22,0.931818,0.953488
0.23,0.931818,0.953488
0.24,0.931818,0.953488
0.25,0.931818,0.953488
0.26,0.931818,0.953488
0.27,0.931818,0.953488
0.28,0.931818,0.953488
0.29,0.931818,0.953488
0.3,0.930233,0.930233
0.31,0.930233,0.930233
0.32,0.930233,0.930233
0.33,0.930233,0.930233
0.34,0.930233,0.930233
0.35,0.928571,0.906977
0.36,0.928571,0.906977
0.37,0.928571,0.906977
0.38,0.928571,0.906977
0.39,0.928571,0.906977
0.4,0.928571,0.906977
0.41,0.928571,0.906977
0.42,0.928571,0.906977
0.43,0.928571,0.906977
0.44,0.928571,0.906977
0.45,0.928571,0.906977
0.46,0.928571,0.906977
0.47,0.95122,0.906977
0.48,0.95122,0.906977
0.49,0.95122,0.906977
0.5,0.95122,0.906977
0.51,0.95,0.883721
0.52,0.948718,0.860465
0.53,0.948718,0.860465
0.54,0.948718,0.860465
0.55,0.948718,0.860465
0.56,0.948718,0.860465
0.57,0.948718,0.860465
0.58,0.948718,0.860465
0.59,0.948718,0.860465
0.6,0.948718,0.860465
0.61,0.948718,0.860465
0.62,0.948718,0.860465
0.63,0.948718,0.860465
0.64,0.948718,0.860465
0.65,0.948718,0.860465
0.66,0.948718,0.860465
0.67,0.948718,0.860465
0.68,0.948718,0.860465
0.69,0.947368,0.837209
0.7,0.947368,0.837209
0.71,0.947368,0.837209
0.72,0.947368,0.837209
0.73,0.947368,0.837209
0.74,0.947368,0.837209
0.75,0.947368,0.837209
0.76,0.947368,0.837209
0.77,0.947368,0.837209
0.78,0.947368,0.837209
0.79,0.947368,0.837209
0.8,0.947368,0.837209
0.81,0.947368,0.837209
0.82,0.947368,0.837209
0.83,0.947368,0.837209
0.84,0.947368,0.837209
0.85,0.947368,0.837209
0.86,0.947368,0.837209
0.87,0.945946,0.813953
0.88,0.945946,0.813953
0.89,0.944444,0.790698
0.9,0.944444,0.790698
0.91,0.970588,0.767442
0.92,0.970588,0.767442
0.93,0.970588,0.767442
0.94,0.970588,0.767442
0.95,0.970588,0.767442
0.96,0.969697,0.744186
0.97,0.969697,0.744186
0.98,0.96875,0.72093
0.99,0.967742,0.697674
1,1,0.209302
