threshold,precision,recall
0,0.37037,1
0.01,0.935484,0.966667
0.02,0.935484,0.966667
0.03,0.935484,0.966667
0.04,0.935484,0.966667
0.05,0.935484,0.966667
0.06,0.935484,0.966667
0.07,0.935484,0.966667
0.08,0.965517,0.933333
0.09,0.965517,0.933333
0.1,0.965517,0.933333
0.11,0.965517,0.933333
0.12,0.965517,0.933333
0.13,0.965517,0.933333
0.14,0.965517,0.933333
0.15,0.965517,0.933333
0.16,0.965517,0.933333
0.17,0.965517,0.933333
0.18,0.965517,0.933333
0.19,0.965517,0.933333
0.2,0.965517,0.933333
0.21,0.965517,0.933333
0.22,0.965517,0.933333
0.23,0.965517,0.933333
0.24,0.965517,0.933333
0.25,0.965517,0.933333
0.26,0.965517,0.933333
0.27,0.965517,0.933333
0.28,0.965517,0.933333
0.29,0.965517,0.933333
0.3,0.965517,0.933333
0.31,0.965517,0.933333
0.32,0.965517,0.933333
0.33,0.965517,0.933333
0.34,0.965517,0.933333
0.35,0.965517,0.933333
0.36,0.965517,0.933333
0.37,0.965517,0.933333
0.38,0.965517,0.933333
0.39,0.965517,0.933333
0.4,0.965517,0.933333
0.41,0.965517,0.933333
0.42,1,0.933333
0.43,1,0.933333
0.44,1,0.933333
0.45,1,0.933333
0.46,1,0.933333
0.47,1,0.933333
0.48,1,0.933333
0.49,1,0.933333
0.5,1,0.933333
0.51,1,0.933333
0.52,1,0.933333
0.53,1,0.933333
0.54,1,0.933333
0.55,1,0.933333
0.56,1,0.933333
0.57,1,0.933333
0.58,1,0.933333
0.59,1,0.933333
0.6,1,0.933333
0.61,1,0.933333
0.62,1,0.933333
0.63,1,0.933333
0.64,1,0.933333
0.65,1,0.933333
0.66,1,0.933333
0.67,1,0.933333
0.68,1,0.933333
0.69,1,0.933333
0.7,1,0.933333
0.71,1,0.933333
0.72,1,0.933333
0.73,1,0.933333
0.74,1,0.933333
0.75,1,0.933333
0.76,1,0.933333
0.77,1,0.933333
0.78,1,0.933333
0.79,1,0.933333
0.8,1,0.933333
0.81,1,0.933333
0.82,1,0.933333
0.83,1,0.933333
0.84,1,0.933333
0.85,1,0.933333
0.86,1,0.933333
0.87,1,0.933333
0.88,1,0.933333
0.89,1,0.933333
0.9,1,0.933333
0.91,1,0.933333
0.92,1,0.933333
0.93,1,0.9
0.94,1,0.9
0.95,1,0.9
0.96,1,0.9
0.97,1,0.9
0.98,1,0.9
0.99,1,0.866667
1,0,0
